country_code;region_name;iata;icao;airport;latitude;longitude
CO;Magdalena;ELB;SKBC;Las Flores Airport;9,04554;-73,97490
CO;Magdalena;IVO;;Chibolo Airport;10,01670;-74,68330
CO;Magdalena;PLT;SKPL;Plato Airport;9,80000;-74,78330
CO;Magdalena;SMR;SKSM;Simon Bolivar International Airport;11,11960;-74,23060
CO;Meta;API;SKAP;Captain Luis F. Gomez Nino Air Base;4,07607;-73,56270
CO;Meta;BAC;;Barranca de Upia Airport;4,58333;-72,96670
CO;Meta;CCO;SKCI;Carimagua Airport;4,56417;-71,33640
CO;Meta;ELJ;SVWX;El Recreo Airport;2;-74,13330
CO;Meta;GAA;;Guamal Airport;9,04465;-73,09730
CO;Meta;GMC;;Guerima Airport;3,62918;-70,32330
CO;Meta;LMC;SKNA;La Macarena Airport;2,17360;-73,78620
CO;Meta;URI;SKUB;Uribe Airport;3,21667;-74,40000
CO;Meta;VVC;SKVV;La Vanguardia Airport;4,16787;-73,61380
CO;Narino;ECR;SKEH;El Charco Airport;2,44944;-78,09420
CO;Narino;IPI;SKIP;San Luis Airport;0,86193;-77,67180
CO;Narino;ISD;;Iscuande Airport;2,44583;-77,98180
CO;Narino;MQR;;Mosquera Airport;2,64955;-78,33610
CO;Narino;PSO;SKPS;Antonio Narino Airport;1,39625;-77,29150
CO;Narino;PYN;;Payan Airport;1,80000;-78,16670
CO;Narino;TCO;SKCO;La Florida Airport;1,81442;-78,74920
CO;Norte de Santander;CUC;SKCC;Camilo Daza International Airport;7,92757;-72,51150
CO;Norte de Santander;OCV;SKOC;Aguas Claras Airport;8,31506;-73,35830
CO;Norte de Santander;TIB;SKTB;Tibu Airport;8,63152;-72,73040
CO;Putumayo;LQM;SKLG;Caucaya Airport;-0,18228;-74,77080
CO;Putumayo;PUU;SKAS;Tres de Mayo Airport;0,50523;-76,50080
CO;Putumayo;VGZ;SKVG;Villa Garzon Airport;0,97877;-76,60560
CO;Quindio;AXM;SKAR;El Eden International Airport;4,45278;-75,76640
CO;Risaralda;PEI;SKPE;Matecana International Airport;4,81267;-75,73950
CO;San Andres, Providencia y Santa Catalina;ADZ;SKSP;Gustavo Rojas Pinilla International Airport;12,58360;-81,71120
